Colonic Neoplasms,A2M
Colonic Neoplasms,ACTA2
Colonic Neoplasms,ACTG2
Colonic Neoplasms,PARP4
Colonic Neoplasms,ALDH1B1
Colonic Neoplasms,ALOX5
Colonic Neoplasms,ALOX12B
Colonic Neoplasms,APC
Colonic Neoplasms,BIRC5
Colonic Neoplasms,ASCL2
Colonic Neoplasms,ATP7A
Colonic Neoplasms,BAK1
Colonic Neoplasms,BAX
Colonic Neoplasms,CCND1
Colonic Neoplasms,BCL2
Colonic Neoplasms,CACNA2D1
Colonic Neoplasms,CBR1
Colonic Neoplasms,CCND2
Colonic Neoplasms,CCNH
Colonic Neoplasms,CDKN1A
Colonic Neoplasms,CDX2
Colonic Neoplasms,CKM
Colonic Neoplasms,CP
Colonic Neoplasms,CRYAB
Colonic Neoplasms,CTNNB1
Colonic Neoplasms,CYP26A1
Colonic Neoplasms,DEFA5
Colonic Neoplasms,DMBT1
Colonic Neoplasms,DNMT1
Colonic Neoplasms,DPYD
Colonic Neoplasms,TYMP
Colonic Neoplasms,EGFR
Colonic Neoplasms,ERBB2
Colonic Neoplasms,MECOM
Colonic Neoplasms,F5
Colonic Neoplasms,FBP1
Colonic Neoplasms,FOLR1
Colonic Neoplasms,MTOR
Colonic Neoplasms,GAST
Colonic Neoplasms,FZD2
Colonic Neoplasms,GAP43
Colonic Neoplasms,GCG
Colonic Neoplasms,GRIK2
Colonic Neoplasms,GSTM5
Colonic Neoplasms,GUCY1A1
Colonic Neoplasms,HMGCS2
Colonic Neoplasms,HES1
Colonic Neoplasms,HSPA2
Colonic Neoplasms,HSPB1
Colonic Neoplasms,ICAM1
Colonic Neoplasms,ID3
Colonic Neoplasms,IFNG
Colonic Neoplasms,IGF2
Colonic Neoplasms,IGFBP1
Colonic Neoplasms,IL1B
Colonic Neoplasms,IL1RN
Colonic Neoplasms,TNFRSF9
Colonic Neoplasms,CXCL10
Colonic Neoplasms,ITGA7
Colonic Neoplasms,ITIH4
Colonic Neoplasms,JUN
